input,output
2.080000000000000000e+02,8.532150983810424805e-01
2.090000000000000000e+02,9.158363342285156250e-01
2.100000000000000000e+02,9.549746513366699219e-01
2.110000000000000000e+02,9.862853288650512695e-01
2.120000000000000000e+02,9.941129684448242188e-01
2.130000000000000000e+02,9.941129684448242188e-01
2.140000000000000000e+02,9.784575700759887695e-01
2.150000000000000000e+02,9.471470117568969727e-01
2.160000000000000000e+02,9.001810550689697266e-01
2.170000000000000000e+02,8.375597000122070312e-01
2.180000000000000000e+02,7.592830657958984375e-01
2.190000000000000000e+02,6.731787919998168945e-01
2.200000000000000000e+02,5.714192390441894531e-01
2.210000000000000000e+02,4.696596860885620117e-01
2.220000000000000000e+02,3.522447347640991211e-01
2.230000000000000000e+02,2.348297834396362305e-01
2.240000000000000000e+02,1.095873117446899414e-01
2.250000000000000000e+02,-1.565533876419067383e-02
2.260000000000000000e+02,-1.408978700637817383e-01
2.270000000000000000e+02,-2.583128213882446289e-01
2.280000000000000000e+02,-3.835554122924804688e-01
2.290000000000000000e+02,-4.931426644325256348e-01
2.300000000000000000e+02,-5.949022769927978516e-01
2.310000000000000000e+02,-6.966618299484252930e-01
2.320000000000000000e+02,-7.749384641647338867e-01
2.330000000000000000e+02,-8.532150387763977051e-01
2.340000000000000000e+02,-9.080086946487426758e-01
2.350000000000000000e+02,-9.549746513366699219e-01
2.360000000000000000e+02,-9.862852692604064941e-01
2.370000000000000000e+02,-1.001940608024597168e+00
2.380000000000000000e+02,-9.941129684448242188e-01
2.390000000000000000e+02,-9.784576296806335449e-01
2.400000000000000000e+02,-9.471470117568969727e-01
2.410000000000000000e+02,-9.001809954643249512e-01
2.420000000000000000e+02,-8.375597000122070312e-01
2.430000000000000000e+02,-7.671107649803161621e-01
2.440000000000000000e+02,-6.810065507888793945e-01
2.450000000000000000e+02,-5.870745778083801270e-01
2.460000000000000000e+02,-4.774873256683349609e-01
2.470000000000000000e+02,-3.679000735282897949e-01
2.480000000000000000e+02,-2.426574826240539551e-01
2.490000000000000000e+02,-1.252425909042358398e-01
2.500000000000000000e+02,0.000000000000000000e+00
2.510000000000000000e+02,1.252425909042358398e-01
2.520000000000000000e+02,2.504851818084716797e-01
2.530000000000000000e+02,3.679000139236450195e-01
2.540000000000000000e+02,4.853149652481079102e-01
